name,country,start_date,end_date,location,description,category,source_url,created_at
TOT Soca Village Launch Night,Saint Lucia,2025-05-17,,,"Launch night for the TOT Soca Village, kicking off the Soca season for Lucian Carnival.","Music, Carnival",https://carnivalsaintlucia.com/events/,2025-09-02T18:12:04.031331
National Schools Carnival Tour,Saint Lucia,2025-05-19,2025-05-30,Primary & Secondary Schools Islandwide,A tour bringing Carnival spirit and activities to primary and secondary schools across Saint Lucia.,"Cultural, Carnival",https://carnivalsaintlucia.com/events/,2025-09-02T18:12:04.036221
Fire One Launch Night,Saint Lucia,2025-05-23,,,"Launch night for Fire One, marking the start of Carnival-related events.","Music, Carnival",https://carnivalsaintlucia.com/events/,2025-09-02T18:12:04.036360
South Tent Launch Night,Saint Lucia,2025-05-24,,,"Launch night for the South Tent, commencing Carnival season events.","Music, Carnival",https://carnivalsaintlucia.com/events/,2025-09-02T18:12:04.036484
KPT Launch Night,Saint Lucia,2025-05-30,,,"Launch night for KPT, initiating its Carnival season activities.","Music, Carnival",https://carnivalsaintlucia.com/events/,2025-09-02T18:12:04.036597
TOT/Soca Village 2nd Show,Saint Lucia,2025-05-31,,,"The second show at the TOT/Soca Village, featuring Soca music and performances as part of Carnival.","Music, Carnival",https://carnivalsaintlucia.com/events/,2025-09-02T18:12:04.036707
Soca the Ultimate Launch Night,Saint Lucia,2025-05-31,,,"Launch night for Soca the Ultimate, kicking off its series of Carnival events.","Music, Carnival",https://carnivalsaintlucia.com/events/,2025-09-02T18:12:04.036812
Binge,Saint Lucia,2025-06-01,,,A Carnival event or fete for attendees to enjoy.,Carnival,https://carnivalsaintlucia.com/events/,2025-09-02T18:12:04.036916
Fire One 2nd Show,Saint Lucia,2025-06-04,,,"The second show for Fire One, continuing the series of Carnival-related music events.","Music, Carnival",https://carnivalsaintlucia.com/events/,2025-09-02T18:12:04.037040
National Schools Calypso & Soca Competition - Primary Schools,Saint Lucia,2025-06-05,,"Mindoo Phillip Park, Castries","Primary school students showcase their talents in Calypso and Soca, a key cultural event for Lucian Carnival.","Music, Cultural, Carnival",https://carnivalsaintlucia.com/events/,2025-09-02T18:12:04.037152
National Schools Calypso & Soca Competition - Secondary Schools,Saint Lucia,2025-06-06,,"Mindoo Phillip Park, Castries","Secondary school students compete in Calypso and Soca, fostering cultural expression during Carnival.","Music, Cultural, Carnival",https://carnivalsaintlucia.com/events/,2025-09-02T18:12:04.037262
KPT 2nd Show,Saint Lucia,2025-06-06,,,"The second show for KPT, featuring music and performances as part of the Carnival season.","Music, Carnival",https://carnivalsaintlucia.com/events/,2025-09-02T18:12:04.037367
National Schools Junior Pan Festival,Saint Lucia,2025-06-07,,"Mindoo Phillip Park, Castries","A festival showcasing the steelpan talents of junior school students, a vibrant part of Saint Lucia's cultural heritage during Carnival.","Music, Cultural, Festival, Carnival",https://carnivalsaintlucia.com/events/,2025-09-02T18:12:04.037470
South Tent 2nd Show,Saint Lucia,2025-06-07,,,"The second show for the South Tent, continuing its series of Carnival-related entertainment.","Music, Carnival",https://carnivalsaintlucia.com/events/,2025-09-02T18:12:04.037574
